f__Chitinophagaceae	 o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.000163939516319
f__	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	7.72755615432e-05
f__Christensenellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.00236831238192
f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.0366735025733
f__Dethiosulfovibrionaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__Bacteria	1.27580835516e-05
f__Burkholderiaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	6.73899442101e-06
f__	 o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	3.65696848775e-06
f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000763062684502
f__Aerococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000106548227294
f__Intrasporangiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	3.96316611377e-07
f__Eubacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	2.68424761423e-05
f__Elusimicrobiaceae	 o__Elusimicrobiales	 c__Elusimicrobia	 p__Elusimicrobia	k__Bacteria	1.36290678887e-05
f__Alcaligenaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00742080054639
f__Cardiobacteriaceae	 o__Cardiobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	1.26482075321e-06
f__Caulobacteraceae	 o__Caulobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000978469092577
f__[Mogibacteriaceae]	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.000874077015119
f__Planococcaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00260543537671
f__Enterococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00385753793494
f__Nocardiopsaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.000520169208353
f__	 o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	2.8462840046e-06
f__Dietziaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	2.5011114609e-06
f__Hyphomicrobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	8.41113062995e-06
f__	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000136696455918
f__EtOH8	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	1.92501444394e-05
f__Leptotrichiaceae	 o__Fusobacteriales	 c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	8.9803234339e-05
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	0.00310736293983
f__Rhodospirillaceae	 o__Rhodospirillales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.06641592108e-05
f__Pseudomonadaceae	 o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00178852556846
f__Sporichthyaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	5.4172136446e-07
f__Shewanellaceae	 o__Alteromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	8.96256488056e-06
f__[Tissierellaceae]	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.00691855172781
f__Microbacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.000146376508379
f__Brevibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.000130746300264
f__[Barnesiellaceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.00687819451544
f__Actinomycetaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.000779743071928
f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	8.98280544624e-06
f__SUP05	 o__Oceanospirillales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	3.11447560969e-06
f__	 o__	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	7.04635939088e-06
f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__Bacteria	5.74724330909e-05
f__	 o__Legionellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	4.0119858076e-07
f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00287413496785
f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.00112268278745
f__	 o__Solibacterales	 c__Solibacteres	 p__Acidobacteria	k__Bacteria	1.30540027286e-07
