o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__[Chthoniobacterales]	 c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.191711164374	7.55641456176e-13
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Rhodospirillales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.180033590868	1.75868404927e-11
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Rhodobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.180718830129	1.4703636055e-11
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	0.181580500028	1.17275968944e-11
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__	 c__TM7-3	 p__TM7	k__Bacteria	0.124063577233	3.94892229529e-06
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.140201984697	1.79017714043e-07
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Cytophagales	 c__Cytophagia	 p__Bacteroidetes	k__Bacteria	0.157145319889	4.67804399964e-09
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__BD7-3	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.122766528815	4.98438295057e-06
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Solibacterales	 c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.190928287985	9.39146012392e-13
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.214023142798	1.03950996043e-15
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Desulfuromonadales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.131683734526	9.58980954848e-07
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Neisseriales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.144391451731	7.55222947652e-08
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.170998770851	1.74677529438e-10
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.276972228408	1.23119771251e-25
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Caulobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.26170274344	5.73841703163e-23
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.186450742497	3.19917494179e-12
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.237743404762	4.0288822028e-19
