	chao1	shannon	observed_otus	simpson	equitability
10317.000014801	671.837209302	5.61643714003	361.0	0.95356558	0.661079682063
10317.000009716	628.447058824	6.59438893272	509.0	0.97691498	0.73340075747
10317.000013155	691.058823529	5.78479078358	462.0	0.94551126	0.653519519872
10317.000015604	544.055555556	5.68216328391	369.0	0.95370068	0.666335808337
10317.000009236	530.893617021	5.61074236597	366.0	0.9335915	0.658870377364
10317.000041289	737.637931034	5.65050073505	441.0	0.94248888	0.643225453806
10317.000030735	665.342465753	6.22434318477	480.0	0.9636574	0.69882335681
10317.000022541	647.777777778	5.18972174822	388.0	0.90486994	0.6034621331
10317.000034132	331.682926829	3.45740551296	234.0	0.7672782	0.439294192346
10317.000026633	673.762711864	5.85351521241	436.0	0.9539976	0.66758578465
10317.000028715	386.675675676	4.81165070882	266.0	0.90912402	0.597328616017
10317.000026126	405.022222222	4.45997281859	279.0	0.89512176	0.548979101543
10317.000033665	604.549019608	4.82288032333	352.0	0.89238338	0.570118719643
10317.000028755	761.049180328	6.15281006243	479.0	0.96156812	0.691025573905
10317.000016485	481.580645161	4.54404444971	340.0	0.85623586	0.540353574262
10317.000001001	533.243243243	4.59645182356	317.0	0.8735227	0.553233541251
10317.000002334	527.443037975	5.86889261228	418.0	0.9568809	0.674015223589
10317.000006797	343.97826087	4.75902769421	277.0	0.89724384	0.586539182145
10317.000013156	896.898305085	6.5875432142	496.0	0.97689824	0.735693409643
10317.000001529	592.640625	6.13063789506	434.0	0.96756432	0.699720601114
10317.000002418b	793.511111111	6.44986760524	545.0	0.97164656	0.709547616957
10317.000005849	439.609756098	4.2405332551	288.0	0.8283218	0.519041882802
10317.000011341	554.666666667	5.75828780998	398.0	0.95802824	0.666728966809
10317.000013355	753.6	6.30395133325	522.0	0.96455386	0.698273922618
10317.000006794	710.02	5.38076775583	409.0	0.92498842	0.620192992588
10317.000028723	671.681818182	5.5929996523	441.0	0.9422823	0.6366798109
10317.000002774	447.32	4.59877585771	323.0	0.84797926	0.551716915708
10317.000001531	499.379746835	6.24583750745	409.0	0.96778146	0.719901848722
10317.000018027	747.142857143	6.50288873708	504.0	0.97583456	0.724371835623
10317.000001948	426.5	5.02942570372	275.0	0.92901022	0.620664824283
10317.000001032	448.055555556	5.54219687162	335.0	0.95436094	0.660727879197
10317.000016697	874.8875	7.06543985479	590.0	0.98502762	0.767601199889
10317.000011162	519.3	4.152137012	392.0	0.74493946	0.481982224257
10317.000005999	509.882352941	4.90834653999	353.0	0.91053386	0.579941206939
10317.000001362	655.068493151	6.58021081564	483.0	0.97721338	0.738032731943
10317.000010947	487.525	5.75529664686	312.0	0.96345948	0.694630929777
10317.000002851	515.307692308	5.38876741657	359.0	0.9333876	0.634880887847
10317.000035452	605.078431373	6.50143548014	406.0	0.9749116	0.750280836458
10317.000005928	677.957746479	6.19269434025	492.0	0.95220312	0.692500340542
10317.000027807	776.602739726	6.34543603193	504.0	0.9700774	0.706832814171
10317.000031313	904.85	6.45220968562	567.0	0.96820014	0.705375001277
10317.000014458	456.318181818	5.48884035441	337.0	0.94631744	0.653697595332
