OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae	3.85865724391	0.425472329154	0.744155906814	1.0	0.0	0.0	0.0	0.0	1.05316192912e-05
k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885; f__5B-12	3.85865724391	0.425472329154	0.744155906814	1.0	0.0	0.0	0.0	0.0	2.37763972497e-06
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae	3.85615846532	0.425822546677	0.744155906814	1.0	0.0	3.02067028796e-06	4.61978207573e-06	5.69830510407e-06	8.88940863738e-07
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae	3.70476474718	0.447433297636	0.774403784371	1.0	0.0	5.77380575932e-07	3.07431387358e-07	3.18249612452e-05	2.42432865167e-07
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__	3.6471437321	0.455860169002	0.781474575432	1.0	0.0	0.0	7.78790497471e-07	2.86297110195e-06	2.66115418765e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae	3.59493696699	0.463590533017	0.784086017229	1.0	0.0	0.0	2.3419256585e-06	2.12114346687e-08	3.85836476084e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae	3.5781486433	0.466095576909	0.784086017229	1.0	0.0	1.27528872795e-07	6.70451432046e-08	1.91097980606e-06	3.36210171703e-07
k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__	3.45953189469	0.484058227186	0.806763711977	1.0	0.0	1.45242222299e-06	5.12189393129e-07	1.05601251542e-06	6.31480742593e-07
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20; f__R4-45B	3.41566598229	0.490816813009	0.810523177447	1.0	0.0	0.0	8.19479943426e-06	2.99737601868e-05	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	3.38184400495	0.49607005826	0.811751004426	1.0	0.0	7.32574600917e-06	0.000646554264502	0.000374254313833	5.35548303218e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae	3.34045663676	0.5025478915	0.814942526757	1.0	0.0	3.27474531022e-06	1.04431881229e-06	2.62810360522e-06	3.98109926994e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae	3.20736740923	0.523741805941	0.841727902406	1.0	0.0	5.68919999004e-06	2.80192442676e-06	9.22902500777e-07	1.70445164802e-06
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae	3.05464672136	0.54872241855	0.860406540602	1.0	0.0	1.72286093463e-07	1.66456888306e-06	1.92628442461e-06	3.44259932191e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae	3.01065508284	0.556043883675	0.860406540602	1.0	0.0	2.53241296799e-05	0.000107418148905	4.24028392079e-05	1.41695129961e-05
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae	2.9736465216	0.562245234625	0.860406540602	1.0	0.0	9.83378226978e-07	1.80009252476e-06	4.0889646806e-06	1.55193803111e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae	2.973121452	0.562333490933	0.860406540602	1.0	0.0	2.04587708594e-05	5.67596859196e-06	2.39703726155e-06	8.12899764445e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae	2.94125805555	0.567703364407	0.860406540602	1.0	0.0	0.0	2.49808599301e-05	2.97621609978e-06	1.11104614707e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__	2.92273757277	0.570837228461	0.860406540602	1.0	9.98057020225e-06	3.70066823859e-05	0.000152273218625	8.61761237669e-05	0.000271285163481
k__Bacteria; p__SR1; c__; o__; f__	2.85919813361	0.581657893376	0.860406540602	1.0	0.0	9.47532525262e-07	6.09609280795e-07	1.00136797715e-05	4.10421653641e-06
