OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella	5.3066377244	0.0212443180448	0.113869178184	1.0	0.00666316529737	0.00661162537896
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Oxalobacter	5.2734950756	0.0216524971567	0.113869178184	1.0	0.000154587886359	0.00023958754317
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Morganella	5.26813284382	0.0217192968225	0.113869178184	1.0	0.00334913571915	0.00186230870468
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia	5.25774604964	0.0218492974208	0.113869178184	1.0	7.1312329987e-06	3.20650539724e-06
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__	5.23911083335	0.0220845586971	0.113869178184	1.0	0.00528705354494	0.00600813218463
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium	5.22571547917	0.0222552889104	0.113869178184	1.0	1.95710955942e-06	6.34807747591e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	5.21294498344	0.0224193283877	0.113869178184	1.0	0.00142790540779	0.00109280672939
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	5.20426333129	0.0225315607897	0.113869178184	1.0	0.0011069369672	0.00133125351018
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Brochothrix	5.12071530533	0.0236418694561	0.117437809643	1.0	4.67082837087e-07	1.17143280173e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Leminorella	5.09555064773	0.0239872972888	0.117437809643	1.0	8.37144713691e-08	3.53218264188e-06
