OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae	2.68017616947	0.443606665552	0.732561466049	1.0	7.85472867779e-06	1.5704897173e-06	1.00695235235e-06	0.0
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae	2.59393341815	0.4585540898	0.745074863318	1.0	7.20950158908e-05	9.38184018324e-05	9.66211995102e-05	3.75944165806e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae	2.57279544241	0.462278830065	0.745074863318	1.0	3.9542884258e-06	3.3685910148e-07	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	2.56531844338	0.463602137176	0.745074863318	1.0	7.48365000884e-05	3.9482112869e-05	2.64243102008e-05	1.0128862589e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	2.49046634117	0.477016493128	0.75984928109	1.0	9.55634166443e-06	5.3529373278e-06	1.06673360817e-05	1.59096025707e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae	2.36459176062	0.500259886606	0.77305359582	1.0	0.000343752261118	0.000114806139538	0.000114288838179	5.74113534035e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	2.32641069242	0.507480209591	0.77305359582	1.0	0.186265668268	0.198552910758	0.203813300864	0.195076487894
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae	2.31252349209	0.510125984859	0.77305359582	1.0	0.000328555784858	0.00112646816369	0.000827462624626	0.000877140304099
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Promicromonosporaceae	2.30917542839	0.510765417817	0.77305359582	1.0	8.33120887507e-07	3.4460704155e-05	5.5305957086e-06	1.07131910579e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae	2.30159525832	0.512215366723	0.77305359582	1.0	1.62683822527e-06	2.61840491204e-06	1.91397183938e-06	1.4525383107e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae	2.27317938969	0.517678487116	0.77305359582	1.0	1.78067294673e-05	7.6726433509e-07	2.32465199661e-06	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__	2.24224953139	0.523674543147	0.77305359582	1.0	3.13909293306e-05	0.000187145920053	5.42641537929e-05	5.34953118726e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae	2.22348668543	0.527337054772	0.77305359582	1.0	1.69986188443e-05	2.14902205259e-05	2.8422649908e-05	4.36604405461e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__SUP05	2.21833724547	0.528345542966	0.77305359582	1.0	0.0	7.82056060583e-07	3.66424386862e-07	4.97592295345e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae	2.20484800654	0.530994096486	0.77305359582	1.0	0.0	2.75697632854e-05	5.37446649015e-08	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	2.19375370479	0.533179744305	0.77305359582	1.0	0.0130711697577	0.0104006265081	0.00964472466606	0.0125172863552
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__; f__	2.14164875245	0.543532996083	0.77305359582	1.0	7.9085768516e-06	1.42061605418e-07	2.00802786087e-07	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae	2.12799678217	0.546269621193	0.77305359582	1.0	0.0010848661016	9.5696972899e-05	0.000188224699579	0.000343787368101
k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae	2.12726051231	0.546417493316	0.77305359582	1.0	4.39365380644e-07	1.16406087107e-06	1.8539049791e-06	0.0
